"","state","year","district","RepVotes","RepStatus","DemVotes","DemStatus","rep_votes_major_percent","dem_votes_major_percent","district_id","WinnerParty","TotalVotesMajor","vote_margin","winner_party","RepVotesMajorPercent","DemVotesMajorPercent"
"49","California",2020,"28",91928,"Challenger",244271,"Incumbent",27.34,72.66,"CA28","D",336199,0.453133412,"D",27.34,72.66
"50","California",2020,"29",0,NA,119420,"Incumbent",0,100,"CA29","D",119420,0.233595713,"D",0,100
"51","California",2020,"30",105426,"Challenger",240038,"Incumbent",30.52,69.48,"CA30","D",345464,0.389655652,"D",30.52,69.48
"52","California",2020,"31",110735,"Challenger",175315,"Incumbent",38.71,61.29,"CA31","D",286050,0.225764726,"D",38.71,61.29
"53","California",2020,"32",86818,"Challenger",172942,"Incumbent",33.42,66.58,"CA32","D",259760,0.331552202,"D",33.42,66.58
"54","California",2020,"33",123334,"Challenger",257094,"Incumbent",32.42,67.58,"CA33","D",380428,0.351603983,"D",32.42,67.58
"55","California",2020,"34",0,NA,108792,"Incumbent",0,100,"CA34","D",108792,0.112489889,"D",0,100
"56","California",2020,"35",74941,"Challenger",169405,"Incumbent",30.67,69.33,"CA35","D",244346,0.38659933,"D",30.67,69.33
"57","California",2020,"36",121698,"Challenger",185151,"Incumbent",39.66,60.34,"CA36","D",306849,0.206789007,"D",39.66,60.34
"58","California",2020,"37",41705,"Challenger",254916,"Incumbent",14.06,85.94,"CA37","D",296621,0.718799411,"D",14.06,85.94
"59","California",2020,"38",0,NA,190467,"Incumbent",0,100,"CA38","D",190467,0.654853597,"D",0,100
"60","California",2020,"39",173946,"Challenger",169837,"Incumbent",50.6,49.4,"CA39","R",343783,0.011952307,"R",50.6,49.4
"61","California",2020,"40",50809,"Challenger",135572,"Incumbent",27.26,72.74,"CA40","D",186381,0.454783481,"D",27.26,72.74
"62","California",2020,"41",94447,"Challenger",168126,"Incumbent",35.97,64.03,"CA41","D",262573,0.28060387,"D",35.97,64.03
"63","California",2020,"42",210274,"Incumbent",157773,"Challenger",57.13,42.87,"CA42","R",368047,0.142647542,"R",57.13,42.87
"64","California",2020,"43",78688,"Challenger",199210,"Incumbent",28.32,71.68,"CA43","D",277898,0.433691498,"D",28.32,71.68
"65","California",2020,"44",0,NA,139661,"Incumbent",0,100,"CA44","D",139661,0.524742054,"D",0,100
"66","California",2020,"45",193096,"Challenger",221843,"Incumbent",46.54,53.46,"CA45","D",414939,0.069280063,"D",46.54,53.46
"67","California",2020,"46",71716,"Challenger",157803,"Incumbent",31.25,68.75,"CA46","D",229519,0.375075702,"D",31.25,68.75
"68","California",2020,"47",114371,"Challenger",197028,"Incumbent",36.73,63.27,"CA47","D",311399,0.26543759,"D",36.73,63.27
"69","California",2020,"48",201738,"Challenger",193362,"Incumbent",51.06,48.94,"CA48","R",395100,0.021199696,"R",51.06,48.94
"70","California",2020,"49",181157,"Challenger",205349,"Incumbent",46.87,53.13,"CA49","D",386506,0.062591525,"D",46.87,53.13
"71","California",2020,"50",195521,"Challenger",166869,"Challenger",53.95,46.05,"CA50","R",362390,0.079063992,"R",53.95,46.05
"72","California",2020,"51",76841,"Challenger",165596,"Incumbent",31.7,68.3,"CA51","D",242437,0.366095109,"D",31.7,68.3
"73","California",2020,"52",152350,"Challenger",244145,"Incumbent",38.42,61.58,"CA52","D",396495,0.23151616,"D",38.42,61.58
"74","California",2020,"53",0,NA,199244,"Challenger",0,100,"CA53","D",199244,0.31935717,"D",0,100
"75","Colorado",2020,"1",105955,"Challenger",331621,"Incumbent",24.21,75.79,"CO01","D",437576,0.515718412,NA,NA,NA
"76","Colorado",2020,"2",182547,"Challenger",316925,"Incumbent",36.55,63.45,"CO02","D",499472,0.269040106,NA,NA,NA
"77","Colorado",2020,"3",220634,"Challenger",194122,"Challenger",53.2,46.8,"CO03","R",414756,0.06392192,NA,NA,NA
"78","Colorado",2020,"4",285606,"Incumbent",173945,"Challenger",62.15,37.85,"CO04","R",459551,0.242978472,NA,NA,NA
"79","Colorado",2020,"5",249013,"Incumbent",161600,"Challenger",60.64,39.36,"CO05","R",410613,0.212884151,NA,NA,NA
"80","Colorado",2020,"6",175192,"Challenger",250314,"Incumbent",41.17,58.83,"CO06","D",425506,0.176547452,NA,NA,NA
"81","Colorado",2020,"7",159301,"Challenger",250525,"Incumbent",38.87,61.13,"CO07","D",409826,0.222592027,NA,NA,NA
"82","Connecticut",2020,"1",122111,"Challenger",222668,"Incumbent",35.42,64.58,"CT01","D",344779,0.291656394,NA,NA,NA
"83","Connecticut",2020,"2",140356,"Challenger",218119,"Incumbent",39.15,60.85,"CT02","D",358475,0.216927261,NA,NA,NA
"84","Connecticut",2020,"3",137598,"Challenger",203265,"Incumbent",40.37,59.63,"CT03","D",340863,0.192649246,NA,NA,NA
