"","state","st_fips","district","cd_fips","st_cd_fips","cpvi","incumbent","cand"
"98","California","06","21","21","0621","D+9",0,"Jim Costa"
"99","California","06","21","21","0621","D+9",0,"Michael Maher"
"100","California","06","22","22","0622","D+5",0,"Rudy Salas"
"101","California","06","22","22","0622","D+5",0,"David Valadao"
"102","California","06","23","23","0623","R+8",0,"Derek Marshall"
"103","California","06","23","23","0623","R+8",0,"Jay Obernolte"
"104","California","06","24","24","0624","D+13",0,"Brad Allen"
"105","California","06","24","24","0624","D+13",1,"Salud Carbajal"
"106","California","06","25","25","0625","D+6",0,"Brian Hawkins"
"107","California","06","25","25","0625","D+6",0,"Raul Ruiz"
"108","California","06","26","26","0626","D+8",1,"Julia Brownley"
"109","California","06","26","26","0626","D+8",0,"Matt Jacobs"
"110","California","06","27","27","0627","D+4",0,"Mike Garcia"
"111","California","06","27","27","0627","D+4",0,"Christy Smith"
"112","California","06","28","28","0628","D+16",0,"Judy Chu"
"113","California","06","28","28","0628","D+16",0,"Wes Hallman"
"114","California","06","29","29","0629","D+26",1,"Tony Cárdenas"
"115","California","06","29","29","0629","D+26",0,"Angelica Dueñas"
"116","California","06","30","30","0630","D+23",0,"Maebe A. Girl"
"117","California","06","30","30","0630","D+23",0,"Adam Schiff"
"118","California","06","31","31","0631","D+15",0,"Daniel Martinez"
"119","California","06","31","31","0631","D+15",0,"Grace Napolitano"
"120","California","06","32","32","0632","D+20",0,"Brad Sherman"
"121","California","06","32","32","0632","D+20",0,"Lucie Volotzky"
"122","California","06","33","33","0633","D+12",0,"Pete Aguilar"
"123","California","06","33","33","0633","D+12",0,"John Porter"
"124","California","06","34","34","0634","D+32",1,"Jimmy Gomez"
"125","California","06","34","34","0634","D+32",0,"David Kim"
"126","California","06","35","35","0635","D+13",0,"Mike Cargile"
"127","California","06","35","35","0635","D+13",1,"Norma Torres"
"128","California","06","36","36","0636","D+21",0,"Joe Collins III"
"129","California","06","36","36","0636","D+21",0,"Ted Lieu"
"130","California","06","37","37","0637","D+37",0,"Sydney Kamlager"
"131","California","06","37","37","0637","D+37",0,"Jan Perry"
"132","California","06","38","38","0638","D+14",0,"Eric Ching"
"133","California","06","38","38","0638","D+14",1,"Linda Sánchez"
"134","California","06","39","39","0639","D+12",0,"Aja Smith"
"135","California","06","39","39","0639","D+12",0,"Mark Takano"
"136","California","06","40","40","0640","R+2",0,"Young Kim"
"137","California","06","40","40","0640","R+2",0,"Asif Mahmood"
"138","California","06","41","41","0641","R+3",0,"Ken Calvert"
"139","California","06","41","41","0641","R+3",0,"Will Rollins"
"140","California","06","42","42","0642","D+22",0,"John Briscoe"
"141","California","06","42","42","0642","D+22",0,"Robert Garcia"
"142","California","06","42","42","0642","D+22",0,"John Briscoe"
"143","California","06","42","42","0642","D+22",0,"Robert Garcia"
"144","California","06","43","43","0643","D+32",0,"Omar Navarro"
"145","California","06","43","43","0643","D+32",1,"Maxine Waters"
"146","California","06","44","44","0644","D+24",1,"Nanette Barragán"
"147","California","06","44","44","0644","D+24",0,"Paul Jones"
"148","California","06","45","45","0645","D+2",0,"Jay Chen"
"149","California","06","45","45","0645","D+2",0,"Michelle Steel"
"150","California","06","46","46","0646","D+15",1,"Lou Correa"
"151","California","06","46","46","0646","D+15",0,"Christopher Gonzales"
"152","California","06","47","47","0647","D+3",0,"Scott Baugh"
"153","California","06","47","47","0647","D+3",0,"Katie Porter"
"154","California","06","48","48","0648","R+9",0,"Stephen Houlahan"
"155","California","06","48","48","0648","R+9",0,"Darrell Issa"
"156","California","06","49","49","0649","D+3",1,"Mike Levin"
"157","California","06","49","49","0649","D+3",0,"Brian Maryott"
"158","California","06","50","50","0650","D+14",0,"Corey Gustafson"
"159","California","06","50","50","0650","D+14",0,"Scott Peters"
"160","California","06","51","51","0651","D+12",0,"Stan Caplan"
"161","California","06","51","51","0651","D+12",0,"Sara Jacobs"
"162","California","06","52","52","0652","D+18",0,"Tyler Geffeney"
"163","California","06","52","52","0652","D+18",0,"Juan Vargas"
"164","Colorado","08","1","01","0801","D+29",1,"Diana DeGette"
"165","Colorado","08","1","01","0801","D+29",0,"John Kittleson"
"166","Colorado","08","1","01","0801","D+29",0,"Jennifer Qualteri"
"167","Colorado","08","2","02","0802","D+17",0,"Marshall Dawson"
"168","Colorado","08","2","02","0802","D+17",0,"Gary Nation"
"169","Colorado","08","2","02","0802","D+17",1,"Joe Neguse"
"170","Colorado","08","2","02","0802","D+17",0,"Tim Wolf"
"171","Colorado","08","2","02","0802","D+17",0,"Steve Yurash"
"172","Colorado","08","3","03","0803","R+7",1,"Lauren Boebert"
"173","Colorado","08","3","03","0803","R+7",0,"Adam Frisch"
"174","Colorado","08","4","04","0804","R+13",1,"Ken Buck"
"175","Colorado","08","4","04","0804","R+13",0,"Ike McCorkle"
"176","Colorado","08","4","04","0804","R+13",0,"Ryan McGonigal"
"177","Colorado","08","5","05","0805","R+9",0,"Brian Flanagan"
"178","Colorado","08","5","05","0805","R+9",1,"Doug Lamborn"
"179","Colorado","08","5","05","0805","R+9",0,"Christopher Mitchell"
"180","Colorado","08","5","05","0805","R+9",0,"David Torres"
"181","Colorado","08","6","06","0806","D+9",1,"Jason Crow"
"182","Colorado","08","6","06","0806","D+9",0,"Steven Monahan"
"183","Colorado","08","6","06","0806","D+9",0,"Eric Mulder"
"184","Colorado","08","7","07","0807","D+4",0,"Erik Aadland"
"185","Colorado","08","7","07","0807","D+4",0,"Ross Klopf"
"186","Colorado","08","7","07","0807","D+4",0,"Critter Milton"
"187","Colorado","08","7","07","0807","D+4",0,"Brittany Pettersen"
"188","Colorado","08","8","08","0808","EVEN",0,"Yadira Caraveo"
"189","Colorado","08","8","08","0808","EVEN",0,"Barbara Kirkmeyer"
"190","Colorado","08","8","08","0808","EVEN",0,"Richard Ward"
"191","Connecticut","09","1","01","0901","D+12",1,"John B. Larson"
"192","Connecticut","09","1","01","0901","D+12",0,"Larry Lazor"
"193","Connecticut","09","2","02","0902","D+3",1,"Joe Courtney"
"194","Connecticut","09","2","02","0902","D+3",0,"Mike France"
"195","Connecticut","09","3","03","0903","D+7",0,"Amy Chai"
"196","Connecticut","09","3","03","0903","D+7",1,"Rosa DeLauro"
"197","Connecticut","09","3","03","0903","D+7",0,"Lesley DeNardis"
"198","Connecticut","09","3","03","0903","D+7",0,"Justin Paglino"
"199","Connecticut","09","4","04","0904","D+13",1,"Jim Himes"
"200","Connecticut","09","4","04","0904","D+13",0,"Jayme Stevenson"
"201","Connecticut","09","5","05","0905","D+3",1,"Jahana Hayes"
"202","Connecticut","09","5","05","0905","D+3",0,"George Logan"
"203","Delaware","10","AL","AL","10AL","D+7",1,"Lisa Blunt Rochester"
"204","Delaware","10","AL","AL","10AL","D+7",0,"Cody McNutt"
"205","Delaware","10","AL","AL","10AL","D+7",0,"Lee Murphy"
"206","Delaware","10","AL","AL","10AL","D+7",0,"David Rogers"
"207","Florida","12","1","01","1201","R+19",1,"Matt Gaetz"
"208","Florida","12","1","01","1201","R+19",0,"Rebekah Jones"
"209","Florida","12","2","02","1202","R+8",1,"Neal Dunn"
"210","Florida","12","2","02","1202","R+8",0,"Al Lawson"
"211","Florida","12","2","02","1202","R+8",0,"Neal Dunn"
"212","Florida","12","2","02","1202","R+8",0,"Al Lawson"
"213","Florida","12","3","03","1203","R+9",0,"Linda Brooks"
"214","Florida","12","3","03","1203","R+9",1,"Kat Cammack"
"215","Florida","12","3","03","1203","R+9",0,"Danielle Hawk"
