"","state","year","district","RepVotes","RepStatus","DemVotes","DemStatus","rep_votes_major_percent","dem_votes_major_percent","district_id","WinnerParty","TotalVotesMajor","vote_margin"
"22","California",2020,"1",204190,"Incumbent",154073,"Challenger",56.99,43.01,"CA01","R",358263,0.139888853
"23","California",2020,"2",94320,"Challenger",294435,"Incumbent",24.26,75.74,"CA02","D",388755,0.514758653
"24","California",2020,"3",145945,"Challenger",176043,"Incumbent",45.33,54.67,"CA03","D",321988,0.093475533
"25","California",2020,"4",247291,"Incumbent",194731,"Challenger",55.95,44.05,"CA04","R",442022,0.118908109
"26","California",2020,"5",85227,"Challenger",271233,"Incumbent",23.91,76.09,"CA05","D",356460,0.521814509
"27","California",2020,"6",83466,"Challenger",229648,"Incumbent",26.66,73.34,"CA06","D",313114,0.466865103
"28","California",2020,"7",166549,"Challenger",217416,"Incumbent",43.38,56.62,"CA07","D",383965,0.132478221
"29","California",2020,"8",158711,"Challenger",124400,"Challenger",56.06,43.94,"CA08","R",283111,0.121192748
"30","California",2020,"9",128358,"Challenger",174252,"Incumbent",42.42,57.58,"CA09","D",302610,0.151660553
"31","California",2020,"10",135629,"Challenger",166865,"Incumbent",44.84,55.16,"CA10","D",302494,0.103261552
"32","California",2020,"11",100293,"Challenger",271063,"Incumbent",27.01,72.99,"CA11","D",371356,0.459855233
"33","California",2020,"12",0,NA,281776,"Incumbent",0,100,"CA12","D",281776,0.711920107
"34","California",2020,"13",34955,"Challenger",327863,"Incumbent",9.63,90.37,"CA13","D",362818,0.80731386
"35","California",2020,"14",72705,"Challenger",278300,"Incumbent",20.71,79.29,"CA14","D",351005,0.585732397
"36","California",2020,"15",99710,"Challenger",242991,"Incumbent",29.1,70.9,"CA15","D",342701,0.418093323
"37","California",2020,"16",88039,"Challenger",128690,"Incumbent",40.62,59.38,"CA16","D",216729,0.187566039
"38","California",2020,"17",85199,"Challenger",212137,"Incumbent",28.65,71.35,"CA17","D",297336,0.426917696
"39","California",2020,"18",0,NA,217388,"Incumbent",0,100,"CA18","D",217388,0.416936537
"40","California",2020,"19",88642,"Challenger",224385,"Incumbent",28.32,71.68,"CA19","D",313027,0.433646299
"41","California",2020,"20",71658,"Challenger",236896,"Incumbent",23.22,76.78,"CA20","D",308554,0.535523766
"42","California",2020,"21",85928,"Challenger",84406,"Incumbent",50.45,49.55,"CA21","R",170334,0.008935386
"43","California",2020,"22",170888,"Incumbent",144251,"Challenger",54.23,45.77,"CA22","R",315139,0.084524607
"44","California",2020,"23",190222,"Incumbent",115896,"Challenger",62.14,37.86,"CA23","R",306118,0.242801795
"45","California",2020,"24",149781,"Challenger",212564,"Incumbent",41.34,58.66,"CA24","D",362345,0.17326857
"46","California",2020,"25",169638,"Incumbent",169305,"Challenger",50.05,49.95,"CA25","R",338943,0.000982466
"47","California",2020,"26",135877,"Challenger",208856,"Incumbent",39.42,60.58,"CA26","D",344733,0.211697169
"48","California",2020,"27",95907,"Challenger",221411,"Incumbent",30.22,69.78,"CA27","D",317318,0.395514909
"49","California",2020,"28",91928,"Challenger",244271,"Incumbent",27.34,72.66,"CA28","D",336199,0.453133412
"50","California",2020,"29",0,NA,119420,"Incumbent",0,100,"CA29","D",119420,0.233595713
"51","California",2020,"30",105426,"Challenger",240038,"Incumbent",30.52,69.48,"CA30","D",345464,0.389655652
"52","California",2020,"31",110735,"Challenger",175315,"Incumbent",38.71,61.29,"CA31","D",286050,0.225764726
"53","California",2020,"32",86818,"Challenger",172942,"Incumbent",33.42,66.58,"CA32","D",259760,0.331552202
"54","California",2020,"33",123334,"Challenger",257094,"Incumbent",32.42,67.58,"CA33","D",380428,0.351603983
"55","California",2020,"34",0,NA,108792,"Incumbent",0,100,"CA34","D",108792,0.112489889
"56","California",2020,"35",74941,"Challenger",169405,"Incumbent",30.67,69.33,"CA35","D",244346,0.38659933
"57","California",2020,"36",121698,"Challenger",185151,"Incumbent",39.66,60.34,"CA36","D",306849,0.206789007
"58","California",2020,"37",41705,"Challenger",254916,"Incumbent",14.06,85.94,"CA37","D",296621,0.718799411
"59","California",2020,"38",0,NA,190467,"Incumbent",0,100,"CA38","D",190467,0.654853597
"60","California",2020,"39",173946,"Challenger",169837,"Incumbent",50.6,49.4,"CA39","R",343783,0.011952307
"61","California",2020,"40",50809,"Challenger",135572,"Incumbent",27.26,72.74,"CA40","D",186381,0.454783481
"62","California",2020,"41",94447,"Challenger",168126,"Incumbent",35.97,64.03,"CA41","D",262573,0.28060387
"63","California",2020,"42",210274,"Incumbent",157773,"Challenger",57.13,42.87,"CA42","R",368047,0.142647542
"64","California",2020,"43",78688,"Challenger",199210,"Incumbent",28.32,71.68,"CA43","D",277898,0.433691498
"65","California",2020,"44",0,NA,139661,"Incumbent",0,100,"CA44","D",139661,0.524742054
"66","California",2020,"45",193096,"Challenger",221843,"Incumbent",46.54,53.46,"CA45","D",414939,0.069280063
"67","California",2020,"46",71716,"Challenger",157803,"Incumbent",31.25,68.75,"CA46","D",229519,0.375075702
"68","California",2020,"47",114371,"Challenger",197028,"Incumbent",36.73,63.27,"CA47","D",311399,0.26543759
"69","California",2020,"48",201738,"Challenger",193362,"Incumbent",51.06,48.94,"CA48","R",395100,0.021199696
"70","California",2020,"49",181157,"Challenger",205349,"Incumbent",46.87,53.13,"CA49","D",386506,0.062591525
"71","California",2020,"50",195521,"Challenger",166869,"Challenger",53.95,46.05,"CA50","R",362390,0.079063992
"72","California",2020,"51",76841,"Challenger",165596,"Incumbent",31.7,68.3,"CA51","D",242437,0.366095109
"73","California",2020,"52",152350,"Challenger",244145,"Incumbent",38.42,61.58,"CA52","D",396495,0.23151616
"74","California",2020,"53",0,NA,199244,"Challenger",0,100,"CA53","D",199244,0.31935717
"75","Colorado",2020,"1",105955,"Challenger",331621,"Incumbent",24.21,75.79,"CO01","D",437576,0.515718412
"76","Colorado",2020,"2",182547,"Challenger",316925,"Incumbent",36.55,63.45,"CO02","D",499472,0.269040106
"77","Colorado",2020,"3",220634,"Challenger",194122,"Challenger",53.2,46.8,"CO03","R",414756,0.06392192
"78","Colorado",2020,"4",285606,"Incumbent",173945,"Challenger",62.15,37.85,"CO04","R",459551,0.242978472
"79","Colorado",2020,"5",249013,"Incumbent",161600,"Challenger",60.64,39.36,"CO05","R",410613,0.212884151
"80","Colorado",2020,"6",175192,"Challenger",250314,"Incumbent",41.17,58.83,"CO06","D",425506,0.176547452
"81","Colorado",2020,"7",159301,"Challenger",250525,"Incumbent",38.87,61.13,"CO07","D",409826,0.222592027
"82","Connecticut",2020,"1",122111,"Challenger",222668,"Incumbent",35.42,64.58,"CT01","D",344779,0.291656394
"83","Connecticut",2020,"2",140356,"Challenger",218119,"Incumbent",39.15,60.85,"CT02","D",358475,0.216927261
"84","Connecticut",2020,"3",137598,"Challenger",203265,"Incumbent",40.37,59.63,"CT03","D",340863,0.192649246
"85","Connecticut",2020,"4",130627,"Challenger",224432,"Incumbent",36.79,63.21,"CT04","D",355059,0.264195528
"86","Connecticut",2020,"5",151988,"Challenger",192484,"Incumbent",44.12,55.88,"CT05","D",344472,0.117559627
"87","Delaware",2020,"AL",196392,"Challenger",281382,"Incumbent",41.11,58.89,"DE00","D",477774,0.177887453
"88","Florida",2020,"1",283352,"Incumbent",149172,"Challenger",65.51,34.49,"FL01","R",432524,0.31022556
"89","Florida",2020,"2",305337,"Incumbent",0,NA,100,0,"FL02","R",305337,0.978181485
"90","Florida",2020,"3",223075,"Challenger",167326,"Challenger",57.14,42.86,"FL03","R",390401,0.142799327
"91","Florida",2020,"4",308497,"Incumbent",196423,"Challenger",61.1,38.9,"FL04","R",504920,0.221963875
"92","Florida",2020,"5",117510,"Challenger",219463,"Incumbent",34.87,65.13,"FL05","D",336973,0.302555398
"93","Florida",2020,"6",265393,"Incumbent",172305,"Challenger",60.63,39.37,"FL06","R",437698,0.21267632
"94","Florida",2020,"7",175750,"Challenger",224946,"Incumbent",43.86,56.14,"FL07","D",400696,0.122776369
"95","Florida",2020,"8",282093,"Incumbent",177695,"Challenger",61.35,38.65,"FL08","R",459788,0.227056817
"96","Florida",2020,"9",188889,"Challenger",240724,"Incumbent",43.97,56.03,"FL09","D",429613,0.120655101
"97","Florida",2020,"10",136889,"Challenger",239434,"Incumbent",36.38,63.62,"FL10","D",376323,0.272491982
"98","Florida",2020,"11",316979,"Incumbent",158094,"Challenger",66.72,33.28,"FL11","R",475073,0.334443338
"99","Florida",2020,"12",284941,"Incumbent",168194,"Challenger",62.88,37.12,"FL12","R",453135,0.257642866
"100","Florida",2020,"13",190713,"Challenger",215405,"Incumbent",46.96,53.04,"FL13","D",406118,0.060800063
"101","Florida",2020,"14",147896,"Challenger",224240,"Incumbent",39.74,60.26,"FL14","D",372136,0.205150805
"102","Florida",2020,"15",216374,"Challenger",174297,"Challenger",55.39,44.61,"FL15","R",390671,0.107704437
"103","Florida",2020,"16",269001,"Incumbent",215683,"Challenger",55.5,44.5,"FL16","R",484684,0.110005694
"104","Florida",2020,"17",266514,"Incumbent",140487,"Challenger",65.48,34.52,"FL17","R",407001,0.309647888
"105","Florida",2020,"18",253286,"Incumbent",186674,"Challenger",57.57,42.43,"FL18","R",439960,0.151404673
"106","Florida",2020,"19",272440,"Challenger",172146,"Challenger",61.28,38.72,"FL19","R",444586,0.22558965
"107","Florida",2020,"20",68748,"Challenger",253661,"Incumbent",21.32,78.68,"FL20","D",322409,0.573535478
"108","Florida",2020,"21",157612,"Challenger",237925,"Incumbent",39.85,60.15,"FL21","D",395537,0.203048008
"109","Florida",2020,"22",166553,"Challenger",235764,"Incumbent",41.4,58.6,"FL22","D",402317,0.17203101
"110","Florida",2020,"23",158874,"Challenger",221239,"Incumbent",41.8,58.2,"FL23","D",380113,0.164069632
"111","Florida",2020,"24",59084,"Challenger",218825,"Incumbent",21.26,78.74,"FL24","D",277909,0.574796066
"112","Florida",2020,"25",0,"Incumbent",0,NA,100,0,"FL25","R",0,NA
"113","Florida",2020,"26",177223,"Challenger",165407,"Incumbent",51.72,48.28,"FL26","R",342630,0.03448618
"114","Florida",2020,"27",176141,"Challenger",166758,"Incumbent",51.37,48.63,"FL27","R",342899,0.027363743
"115","Georgia",2020,"1",189457,"Incumbent",135238,"Challenger",58.35,41.65,"GA01","R",324695,0.166984401
"116","Georgia",2020,"2",111620,"Challenger",161397,"Incumbent",40.88,59.12,"GA02","D",273017,0.18232198
"117","Georgia",2020,"3",241526,"Incumbent",129792,"Challenger",65.05,34.95,"GA03","R",371318,0.300911887
"118","Georgia",2020,"4",69393,"Challenger",278906,"Incumbent",19.92,80.08,"GA04","D",348299,0.601532017
"119","Georgia",2020,"5",52646,"Challenger",301857,"Challenger",14.85,85.15,"GA05","D",354503,0.702986999
"120","Georgia",2020,"6",180329,"Challenger",216775,"Incumbent",45.41,54.59,"GA06","D",397104,0.091779483
"121","Georgia",2020,"7",180564,"Challenger",190900,"Challenger",48.61,51.39,"GA07","D",371464,0.027825038
"122","Georgia",2020,"8",198701,"Incumbent",109264,"Challenger",64.52,35.48,"GA08","R",307965,0.290412872
"123","Georgia",2020,"9",292750,"Challenger",79797,"Challenger",78.58,21.42,"GA09","R",372547,0.571613783
"124","Georgia",2020,"10",235810,"Incumbent",142636,"Challenger",62.31,37.69,"GA10","R",378446,0.246201572
"125","Georgia",2020,"11",245259,"Incumbent",160623,"Challenger",60.43,39.57,"GA11","R",405882,0.20852366
"126","Georgia",2020,"12",181038,"Incumbent",129061,"Challenger",58.38,41.62,"GA12","R",310099,0.167614214
"127","Georgia",2020,"13",81476,"Challenger",279045,"Incumbent",22.6,77.4,"GA13","D",360521,0.548009686
"128","Georgia",2020,"14",229827,"Challenger",77798,"Challenger",74.71,25.29,"GA14","R",307625,0.494202357
"129","Hawaii",2020,"1",71188,"Challenger",183245,"Incumbent",27.98,72.02,"HI01","D",254433,0.440418499
"130","Hawaii",2020,"2",84027,"Challenger",171517,"Challenger",32.88,67.12,"HI02","D",255544,0.342367655
"131","Idaho",2020,"1",310736,"Incumbent",131380,"Challenger",70.28,29.72,"ID01","R",442116,0.405676338
"132","Idaho",2020,"2",250669,"Incumbent",124151,"Challenger",66.88,33.12,"ID02","R",374820,0.337543354
"133","Illinois",2020,"1",85027,"Challenger",239943,"Incumbent",26.16,73.84,"IL01","D",324970,0.476708619
"134","Illinois",2020,"2",63142,"Challenger",234896,"Incumbent",21.19,78.81,"IL02","D",298038,0.576282219
"135","Illinois",2020,"3",133851,"Challenger",172997,"Challenger",43.62,56.38,"IL03","D",306848,0.127574565
"136","Illinois",2020,"4",35518,"Challenger",187219,"Incumbent",15.95,84.05,"IL04","D",222737,0.681076786
"137","Illinois",2020,"5",96200,"Challenger",255661,"Incumbent",27.34,72.66,"IL05","D",351861,0.453193164
"138","Illinois",2020,"6",183891,"Challenger",213777,"Incumbent",46.24,53.76,"IL06","D",397668,0.075153143
"139","Illinois",2020,"7",41390,"Challenger",249383,"Incumbent",14.23,85.77,"IL07","D",290773,0.715310569
"140","Illinois",2020,"8",0,NA,186251,"Incumbent",0,100,"IL08","D",186251,0.633145594
"141","Illinois",2020,"9",107125,"Challenger",262045,"Incumbent",29.02,70.98,"IL09","D",369170,0.419644066
"142","Illinois",2020,"10",114442,"Challenger",202402,"Incumbent",36.12,63.88,"IL10","D",316844,0.277612958
"143","Illinois",2020,"11",112807,"Challenger",194557,"Incumbent",36.7,63.3,"IL11","D",307364,0.265971291
"144","Illinois",2020,"12",194839,"Incumbent",127577,"Challenger",60.43,39.57,"IL12","R",322416,0.208618679
"145","Illinois",2020,"13",181373,"Incumbent",151648,"Challenger",54.46,45.54,"IL13","R",333021,0.089258635
"146","Illinois",2020,"14",197835,"Challenger",203209,"Incumbent",49.33,50.67,"IL14","D",401044,0.013400026
"147","Illinois",2020,"15",244947,"Challenger",88559,"Challenger",73.45,26.55,"IL15","R",333506,0.468921099
"148","Illinois",2020,"16",218839,"Incumbent",119313,"Challenger",64.72,35.28,"IL16","R",338152,0.294323263
"149","Illinois",2020,"17",143863,"Challenger",156011,"Incumbent",47.97,52.03,"IL17","D",299874,0.040510348
"150","Illinois",2020,"18",261840,"Incumbent",110039,"Challenger",70.41,29.59,"IL18","R",371879,0.408199979
"151","Indiana",2020,"1",132247,"Challenger",185180,"Challenger",41.66,58.34,"IN01","D",317427,0.166756451
"152","Indiana",2020,"2",183601,"Incumbent",114967,"Challenger",61.49,38.51,"IN02","R",298568,0.229877281
"153","Indiana",2020,"3",220989,"Incumbent",104762,"Challenger",67.84,32.16,"IN03","R",325751,0.356797063
"154","Indiana",2020,"4",225531,"Incumbent",112984,"Challenger",66.62,33.38,"IN04","R",338515,0.332472712
"155","Indiana",2020,"5",208212,"Challenger",191226,"Challenger",52.13,47.87,"IN05","R",399438,0.042524747
